WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_32	sounds	au	sheep	ouch	au 		au - is a sound when something hurts or you injured yourself 
item_2	item_33	sounds	bææ	bææ	baa baa			
item_3	item_34	sounds	brrr (bil-lyd)	brr (car audio)	vroom			
item_4	item_35	sounds	gakk gakk	gakk gakk	quack quack			
item_5	item_36	sounds	grr	grrr	grrr			
item_6	item_37	sounds	kykeliky	kykeliky	cockadoodledoo			
item_7	item_38	sounds	mjau	meow	meow			
item_8	item_39	sounds	møø	Need we say	moo	mooo		møø - the sounds a cow makes
item_9	item_40	sounds	nam - nam	nam - nam	yum yum			
item_10		sounds	oi (uttrykk for overraskelse)	oi (expressed surprise)		wow	wow 	
item_11	item_41	sounds	tøff-tøff	tough-tough	choo choo			
item_12	item_42	sounds	voff voff	voff voff	woof woof	woof woof 		
item_13	item_44	animals	(meite)mark	(Earthworms) mark	worm	Worm		
item_14	item_43	animals	and	duck	duck			
item_15		animals	apekatt	monkey	monkey			
item_16	item_46	animals	bjørn	Bears	bear	bear 		
item_17	item_47	animals	dyr	animals	animal			Dyr - is both plural and singular: Several 'dyr' and one 'dyr'
item_18	item_48	animals	ekorn	Squirrel	squirrel			
item_19	item_49	animals	elefant	elephant	elephant			
item_20	item_50	animals	elg	moose	moose			
item_21		animals	esel	ass		donkey 	donkey 	
item_22	item_51	animals	fisk (animal)	fish	fish (animal)			
item_23	item_52	animals	flue	fly	fly (animal)			
item_24	item_53	animals	frosk	frog	frog			
item_25	item_54	animals	fugl	bird	bird			
item_26	item_55	animals	gås	goose	goose			
item_27	item_56	animals	gris	pig	pig			
item_28		animals	hane	rooster			rooster	
item_29	item_57	animals	hest	horse	horse			
item_30		animals	høne	hen			hen 	
item_31	item_58	animals	hund	dog	dog			
item_32	item_59	animals	kanin	rabbit	bunny		rabbit 	
item_33	item_60	animals	katt	cat	cat			
item_34	item_61	animals	kattunge	kitten	kitty		kitten 	
item_35		animals	krokodille	crocodile			crocodile 	
item_36	item_62	animals	ku	cow	cow			
item_37	item_63	animals	kylling (animal)	chicken	chicken (animal)			
item_38	item_64	animals	lam	lamb	lamb			
item_39	item_65	animals	(leke)bamse	(Play) teddy bear	teddybear			
item_40	item_66	animals	løve	lion	lion			
item_41		animals	maur	ants			ants	Maur - both singular and plural 
item_42	item_67	animals	mus	mouse	mouse			Mus - both singular and plural
item_43		animals	mygg	mosquito			mosquito	Mygg - both singular and plural
item_44	item_68	animals	pingvin	Penguin	penguin			
item_45		animals	ponni	pony			pony	
item_46	item_69	animals	reinsdyr	reindeer	deer			
item_47	item_71	animals	sau	sheep	sheep			
item_48		animals	sebra	zebra			zebra	
item_49	item_72	animals	sjiraff	giraffe	giraffe			
item_50	item_73	animals	skilpadde	tortoise	turtle			
item_51	item_74	animals	sommerfugl	butterfly	butterfly			
item_52	item_75	animals	tiger	tiger	tiger			
item_53	item_76	animals	ugle	owl	owl			
item_54		animals	ulv	wolf			wolf 	
item_55	item_77	animals	valp	Puppy	puppy			
item_56	item_78	animals	veps	wasp	bee			A 'vesp' is a wasp; a 'bie' is a bee
item_57		vehicles	akebrett	sledges		sledge	sled	So sled and sledge is not really correct; the correct word in English would be toboggan but that's not really used. 
item_58	item_79	vehicles	barnevogn	stroller	stroller			
item_59	item_80	vehicles	bil	car	car			
item_60	item_81	vehicles	brannbil	fire truck	firetruck			
item_61		vehicles	båt	boat			boat	
item_62	item_82	vehicles	buss	coach	bus	bus		
item_63	item_83	vehicles	fly	plane	airplane			
item_64		vehicles	helikopter	helicopter	helicopter			
item_65	item_84	vehicles	lastebil	truck	truck			
item_66	item_85	vehicles	motorsykkel	motorcycle	motorcycle			
item_67	item_86	vehicles	sykkel	bicycle	bicycle			
item_68	item_87	vehicles	tog	train	train			
item_69		vehicles	traktor	tractor	tractor			
item_70		vehicles	trehjulssykkel	tricycle			tricycle	
