WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	final_definition	final_gloss	final_uni_lemma
asvat1		sounds	اخ-وای			ouch; oh; ah	ouch		اخ-وای	ouch	ouch
a2		sounds	اه-اخ	ah ah		ouch; oh; ah	ouch		اه-اخ	ouch	ouch
a3		sounds	صداي اژير (ب، بو)	ring (alarm)				beep?	صداي اژير (ب، بو)	ring (alarm)	
a4		sounds	صداي اسب	neigh	neigh				صداي اسب	neigh	neigh
a5		sounds	صداي اردك	quack			quack quack		صداي اردك	quack	quack quack
a6		sounds	صدای تفنگ (بنگ،بنگ)	bang (gun)			bang		صدای تفنگ (بنگ،بنگ)	bang (gun)	bang bang
a7		sounds	صداي جوجه ( جيك،جيك)	cheep (chicken)		also: chirp	cluck		صداي جوجه ( جيك،جيك)	chirp (chicken)	
a8		sounds	صداي خروس ( قوقولي قوقو)	cockledoodledoo			crow		صداي خروس ( قوقولي قوقو)	cockadoodledoo	cockadoodledoo
a9		sounds	صداي سگ (هاپ،هاپ)	woof woof	woof woof				صداي سگ (هاپ،هاپ)	woof woof	woof woof
a10		sounds	صداي قطار (هو هو چي چي)	choo choo	choo choo				صداي قطار (هو هو چي چي)	choo choo	choo choo
a11		sounds	صداي كلاغ ( قار قار)	caw caw (crow)			caw caw		صداي كلاغ ( قار قار)	caw caw (crow)	caw
a12		sounds	صداي گربه ( ميو ميو)	meow meow			meow		صداي گربه ( ميو ميو)	meow meow	meow
a13		sounds	صداي گوسفند (بع بع)	baa baa	baa baa				صداي گوسفند (بع بع)	baa baa	baa baa
a14		sounds	صداي ماشين (ام/بيب، بيب)	(car)		honk	honk		صداي ماشين (ام/بيب، بيب)	honk	honk honk
a15		sounds	صدای موتور	vroom	vroom				صدای موتور	vroom	vroom
vasilenaqliye1	O1	vehicles	اتوبوس	bus	bus				اتوبوس	bus	bus
v2		vehicles	تراکتور	tractor	tractor				تراکتور	tractor	tractor
v3		vehicles	دوچرخه (چرخ)	bicycle	bicycle				دوچرخه (چرخ)	bicycle	bicycle
v4		vehicles	سهچرخه	tricycle			bicycle		سهچرخه	tricycle	
v5		vehicles	قایق	the boat		boat	boat		قایق	boat	boat
v6	O3	vehicles	قطار	train	train				قطار	train	train
v7	O4	vehicles	کامیون	truck	truck				کامیون	truck	truck
v8	O6	vehicles	ماشین	machine		car	car		ماشین	car	car
v9	O7	vehicles	موتور	engine		motorcycle	motorcycle	motorcycle' is a better equivalent in child usage.	موتور	motorcycle	motorcycle
v10		vehicles	مینی بوس	minibus			bus		مینی بوس	minibus	bus
v11	O8	vehicles	هلی کوپتر	helicopter	helicopter				هلی کوپتر	helicopter	helicopter
v12	O9	vehicles	هواپیما	plane		airplane	airplane		هواپیما	airplane	airplane
v13		vehicles	کشتی	ship			boat		کشتی	ship	boat
qaza1		food_drink	اب	water	water (beverage)				اب	water	water (beverage)
q2		food_drink	ابگوشت	broth			soup	The lemma is approximate	ابگوشت	broth	soup
q3		food_drink	اب میوه) ساندیس)	juice	juice				اب میوه) ساندیس)	juice	juice
q4		food_drink	اب نبات	candy	candy				اب نبات	candy	candy
q5		food_drink	اجیل			nuts	nut	The lemma is my proposal	اجیل	nuts	nut
q6		food_drink	ادامس			gum	gum	The lemma is my proposal	ادامس	gum	gum
q7		food_drink	اش			soup	soup	The gloss and lemma are approximate. Correct spelling: آش	آش	soup	soup
q8		food_drink	البالو			sour cherry	cherry	The lemma is my proposal	البالو	sour cherry	cherry
q9		food_drink	انار	pomegranate			pomegranate	The lemma is my proposal	انار	pomegranate	pomegranate
q10		food_drink	انگور			grape	grapes		انگور	grape	grapes
q11		food_drink	بادام	almond			almond		بادام	almond	
q12		food_drink	برنج	rice	rice				برنج	rice	rice
q13	F7	food_drink	بستنی	ice cream	ice cream				بستنی	ice cream	ice cream
q14		food_drink	بلال			roasted corn	corn	The lemma is my proposal	بلال	roasted corn	corn
q15	F6	food_drink	بیسکویت	biscuits			cookie		بیسکویت	biscuits	cookie
q16	F10	food_drink	پرتقال	orange	orange (food)				پرتقال	orange	orange (food)
q17		food_drink	پسته	pistachio			pistachio		پسته	pistachio	
q18	F8	food_drink	پفک	cheetos				food?	پفک	cheetos	
q19		food_drink	پلو	rice	rice				پلو	rice	rice
q20	F9	food_drink	پنیر	cheese	cheese				پنیر	cheese	cheese
q21		food_drink	پیاز	onion			onion	The lemma is my proposal	پیاز	onion	onion
q22		food_drink	پیتزا	pizza	pizza				پیتزا	pizza	pizza
q23		food_drink	تخممرغ	egg	egg			The correct spelling is تخم مرغ	تخم مرغ	egg	egg
q24		food_drink	تن ماهی	tuna			fish (food)		تن ماهی	tuna	fish (food)
q25		food_drink	توت			mulberry	berry		توت	mulberry	berry
q26	F12	food_drink	چای	tea	tea				چای	tea	tea
q27		food_drink	چوب شور	pretzel	pretzel				چوب شور	pretzel	pretzel
q28		food_drink	چیپس	chips	chips				چیپس	chips	chips
q29		food_drink	خربزه	melon			watermelon		خربزه	melon	
q30		food_drink	خورش	stew				food?	خورش	stew	
q31		food_drink	خیار	cucumber	cucumber				خیار	cucumber	cucumber
q32		food_drink	رب			tomato paste	tomato		رب	tomato paste	
q33		food_drink	دوغ	dough			drink (beverage)		دوغ	doogh (yogurt drink)	yogurt drink
q34		food_drink	ساندویچ	sandwich	sandwich				ساندویچ	sandwich	sandwich
q35		food_drink	سبزی	vegetables			vegetable	The lemma is my proposal	سبزی	vegetables	vegetable
q36		food_drink	سس			sauce	sauce		سس	sauce	sauce
q37		food_drink	سوپ	soup	soup				سوپ	soup	soup
q38		food_drink	سوسیس	sausage			meat		سوسیس	sausage	sausage
q39		food_drink	سیب	apple	apple				سیب	apple	apple
q40		food_drink	سیب زمینی	potato	potato				سیب زمینی	potato	potato
q41		food_drink	شربت	syrup			syrup	"sweet' already exists in the lemma list, but I think 'sweets' is better here."	شربت	syrup	
q42		food_drink	شکلات	chocolate	chocolate				شکلات	chocolate	chocolate
q43		food_drink	شیر (خوراکی)	milk	milk				شیر (خوراکی)	milk	milk
q44		food_drink	شیرینی	sweets			sweets		شیرینی	sweets	candy
q45		food_drink	غذا	food	food				غذا	food	food
q46		food_drink	فلفل	pepper	pepper				فلفل	pepper	pepper
q47		food_drink	فندق	hazelnut			hazelnut		فندق	hazelnut	
q48		food_drink	قارچ	mushrooms	mushroom				قارچ	mushrooms	mushroom
q49		food_drink	قند	sugar loaf			sugar		قند	sugar	sugar
q50		food_drink	کاکائو	cocoa			cocoa	coffee?	کاکائو	cocoa	cocoa
q51		food_drink	کالباس	bologna		lunch meat / cold cut	meat		کالباس	bologna	
q52		food_drink	کره	butter	butter				کره	butter	butter
q53		food_drink	کباب	barbecue			meat		کباب	barbecue	
q54		food_drink	کشمش	raisins			raisin		کشمش	raisins	raisin
q55		food_drink	کیک	cake	cake				کیک	cake	cake
q56		food_drink	کیوی	kiwi			kiwi		کیوی	kiwi	kiwi
q57		food_drink	گردو	walnut			walnut		گردو	walnut	
q58		food_drink	گوشت	meat	meat				گوشت	meat	meat
q59		food_drink	گوجه	tomato	tomato				گوجه	tomato	tomato
