WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_22	sounds	brr-brr	vroom	vroom			
item_2		sounds	ga-ga	baa baa	baa baa			
item_3	item_83	sounds	grr	grr	grrr			
item_4	item_108	sounds	jao	ouch	ouch			
item_5	item_147	sounds	ku-ku (sound)	choo choo	peekaboo	peekaboo or hello	peekaboo or hello	Ku-ku is sometimes used as a greeting with small children.
item_6		sounds	kukurikuuu	cockadoodledoo	cockadoodledoo			
item_7	item_155	sounds	kva-kva	quack quack	quack quack			
item_8	item_185	sounds	mijau	meow	meow			
item_9	item_195	sounds	muu	moo	moo			
item_10	item_204	sounds	njam-njam	yum yum	yum yum			
item_11	item_346	sounds	tu-tu	choo-choo	beep beep	beep beep		
item_12	item_360	sounds	vau-vau	woof woof	woof woof			
item_13	item_24	animals	buba	bug	bug			
item_14	item_86	animals	guska	goose	goose			
item_15		animals	jelen	deer	deer			
item_16	item_132	animals	koka	hen	hen		chicken (animal)	
item_17	item_136	animals	konj	horse	horse			
item_18		animals	kornjača	turtle	turtle	tortoise	tortoise	
item_19	item_138	animals	koza	goat	goat			
item_20	item_140	animals	krava	cow	cow			
item_21		animals	krokodil	crocodile	crocodile			
item_22	item_158	animals	lane	fawn	deer			
item_23	item_159	animals	lav	lion	lion			
item_24	item_160	animals	leptir	butterfly	butterfly			
item_25	item_164	animals	lisica	fox	fox			
item_26	item_173	animals	mačka	cat	cat			
item_27	item_174	animals	magarac	donkey	donkey			
item_28	item_176	animals	majmun	monkey	monkey			
item_29		animals	medo (igračka)	teddybear	teddybear			
item_30		animals	medvjed (životinja)	bear	bear			
item_31	item_186	animals	miš	mouse	mouse			
item_32		animals	mrav	ant	ant			
item_33	item_222	animals	ovca	sheep	sheep			
item_34	item_229	animals	pas	dog	dog			
item_35	item_231	animals	patka	duck	duck			
item_36	item_233	animals	pčela	bee	bee			
item_37	item_237	animals	pijetao	rooster	rooster		chicken (animal)	
item_38	item_238	animals	pile	chicken	chicken (animal)	chick		
item_39		animals	pingvin	penguin	penguin			
item_40	item_254	animals	prase	pig	pig			
item_41	item_263	animals	ptica	bird	bird			
item_42	item_267	animals	purica	turkey	turkey			
item_43	item_271	animals	riba (animal)	fish	fish (animal)			
item_44	item_292	animals	slon	elephant	elephant			
item_45	item_297	animals	sova	owl	owl			
item_46		animals	srna	doe	deer			
item_47	item_333	animals	tigar	tiger	tiger			
item_48	item_368	animals	vjeverica	squirrel	squirrel			
item_49	item_374	animals	vrabac	sparrow	sparrow		bird	
item_50	item_379	animals	vuk	wolf	wolf			
item_51		animals	zebra	zebra	zebra			
item_52	item_387	animals	zeko	bunny	bunny			
item_53	item_380	animals	žaba	frog	frog			
item_54		animals	žirafa	giraffe	giraffe			
item_55	item_389	animals	životinja	animal	animal			
item_56	item_1	vehicles	auto	car	car			
item_57	item_2	vehicles	autobus	bus	bus			
item_58	item_3	vehicles	avion	airplane	airplane			
item_59	item_10	vehicles	bicikl	bicycle	bicycle			
item_60	item_21	vehicles	brod	boat	boat			
item_61		vehicles	helikopter	helicopter	helicopter			
item_62	item_122	vehicles	kamion	truck	truck			
item_63		vehicles	kolica	stroller	stroller			
item_64	item_192	vehicles	motor	motorcycle	motorcycle			
item_65		vehicles	sanjke	sled	sled	sledge		
item_66		vehicles	traktor	tractor	tractor			
item_67	item_338	vehicles	tramvaj	tram	tram			
item_68		vehicles	vatrogasci	firetruck				The meaning of the word 'vatrogasci' is 'firefighters'; this might be a problem with the Croatian CDI. 'Vatrogasno vozilo' means 'firetruck'
item_69	item_369	vehicles	vlak	train	train			
item_70	item_6	toys	balon	balloon	balloon			
item_71		toys	bojica	crayon		coloring pencil	crayon/marker	Croatian children rarely use actual crayons (colored wax) for coloring. They use wooden coloring pencils which are called 'bojice''. Crayons are called 'pastele' but kids often call them 'pastelne bojice'. In croatian a universal concept for thing children color with would be 'bojica', but best english match is 'crayon'.
item_72		toys	flomaster	felt pen		felt tip pen	crayon/marker	Children under 3 years of age use felt tip pens far less than coloring pencils. But when they do they use them for coloring so a universal concept for thing children color with (crayon) would be closer to the actual meaning for them than thing people write with (pen/pencil).
